order_id,quantity,item_name,choice_description,price_numeric,price_per_item,Coke,date
1,1,Chips and Fresh Tomato Salsa,,2.39,2.39,False,2018-01-01
1,1,Izze,[Clementine],3.39,3.39,False,2018-01-01
1,1,Nantucket Nectar,[Apple],3.39,3.39,False,2018-01-01
1,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-01
2,2,Chicken Bowl,"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream]]",16.98,8.49,False,2018-01-08
3,1,Chicken Bowl,"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]",10.98,10.98,False,2018-01-07
3,1,Side of Chips,,1.69,1.69,False,2018-01-07
4,1,Steak Burrito,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]",11.75,11.75,False,2018-01-10
4,1,Steak Soft Tacos,"[Tomatillo Green Chili Salsa, [Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,False,2018-01-10
5,1,Steak Burrito,"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce]]",9.25,9.25,False,2018-01-08
5,1,Chips and Guacamole,,4.45,4.45,False,2018-01-08
6,1,Chicken Crispy Tacos,"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-19
6,1,Chicken Soft Tacos,"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]",8.75,8.75,False,2018-01-19
7,1,Chicken Bowl,"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]",11.25,11.25,False,2018-01-19
7,1,Chips and Guacamole,,4.45,4.45,False,2018-01-19
8,1,Chips and Tomatillo-Green Chili Salsa,,2.39,2.39,False,2018-01-14
8,1,Chicken Burrito,"[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Cheese, Sour Cream]]",8.49,8.49,False,2018-01-14
9,1,Chicken Burrito,"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]",8.49,8.49,False,2018-01-18
9,2,Canned Soda,[Sprite],2.18,1.09,False,2018-01-18
10,1,Chicken Bowl,"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]",8.75,8.75,False,2018-01-11
